Comunidades;A2019;A2018;A2017;A2016;A2015;A2014;A2013;A2012;A2011;A2010
ANDALUCÍA;89729;87199;84846;82911;87465;95241;100589;100409;103249;69597
;;;;;;;;;;
ARAGÓN;10891;10048;9328;9706;9874;11719;12370;12079;13455;9443
;;;;;;;;;;
ASTURIAS (PRINCIPADO DE);8143;7802;7626;7440;7761;9138;9637;10008;10047;7002
;;;;;;;;;;
BALEARS (ILLES);15306;13903;13405;13076;13153;14817;16410;15247;14896;9908
;;;;;;;;;;
CANARIAS;24731;24291;24047;21797;24125;28835;31195;31420;30518;18898
;;;;;;;;;;
CANTABRIA;4139;3981;3610;3745;3794;4600;5554;5664;5512;4111
;;;;;;;;;;
CASTILLA Y LEÓN;16860;16602;15273;14983;16737;19414;19252;19383;19350;14368
;;;;;;;;;;
CASTILLA - LA MANCHA;19638;19050;17859;17218;16278;18241;19942;20066;20424;16003
;;;;;;;;;;
CATALUÑA;38424;36065;32705;33362;34557;39402;43805;44851;47785;48333
;;;;;;;;;;
COMUNITAT VALENCIANA;50416;49936;48290;49042;51906;59805;63562;63102;63155;47616
;;;;;;;;;;
EXTREMADURA;8284;7995;7713;7542;8123;9354;10640;9655;8932;6517
;;;;;;;;;;
GALICIA;18565;18533;16825;16112;16574;19160;21232;21555;22447;11665
;;;;;;;;;;
MADRID (COMUNIDAD DE);73308;67571;64799;61501;57806;67774;68063;70130;69819;56496
;;;;;;;;;;
MURCIA (REGIÓN DE);15770;15079;14164;14083;15329;16707;16637;16781;16872;13145
;;;;;;;;;;
NAVARRA (COMUNIDAD FORAL DE);4500;4336;3367;3520;3728;3843;3167;3374;3492;3226
;;;;;;;;;;
PAÍS VASCO;5128;4665;4413;4568;5376;6165;6909;7718;8493;8275
;;;;;;;;;;
RIOJA (LA);3120;2971;2908;2798;3013;2967;3220;3102;3246;2244
;;;;;;;;;;
CIUDAD AUTÓNOMA DE CEUTA;2162;2205;2051;1916;2052;2486;3062;3779;3615;3096
;;;;;;;;;;
CIUDAD AUTÓNOMA DE MELILLA;2789;2592;2636;2616;2593;2687;2841;2719;2946;2024
