comunidades autónomas, tipología penal y periodos;Enero-septiembre 2019;Enero-septiembre 2020;Variación % 2020/2019
TOTAL NACIONAL;;;
    1.-Homicidios dolosos y asesinatos consumados;249;232;-6,8
    2.-Homicidios dolosos y asesinatos en grado tentativa;627;725;15,6
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;15.080;12.469;-17,3
    4.-Secuestro;71;61;-14,1
    5.-Delitos contra la libertad e indemnidad sexual;11.571;10.154;-12,2
    5.1.-Agresión sexual con penetración;1.405;1.281;-8,8
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;10.166;8.873;-12,7
    6.-Robos con violencia e intimidación;48.272;35.213;-27,1
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;105.064;77.498;-26,2
    7.1.-Robos con fuerza en domicilios;72.231;52.891;-26,8
    8.-Hurtos;529.192;309.913;-41,4
    9.-Sustracciones de vehículos;26.166;19.395;-25,9
    10.-Tráfico de drogas;12.693;12.662;-0,2
    Resto de infracciones penales;895.932;834.159;-6,9
    TOTAL INFRACCIONES PENALES;1.644.917;1.312.481;-20,2
ANDALUCÍA;;;
    1.-Homicidios dolosos y asesinatos consumados;60;47;-21,7
    2.-Homicidios dolosos y asesinatos en grado tentativa;111;190;71,2
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;2.558;2.315;-9,5
    4.-Secuestro;26;18;-30,8
    5.-Delitos contra la libertad e indemnidad sexual;1.886;1.665;-11,7
    5.1.-Agresión sexual con penetración;189;175;-7,4
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;1.697;1.490;-12,2
    6.-Robos con violencia e intimidación;5.393;4.012;-25,6
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;16.569;13.426;-19,0
    7.1.-Robos con fuerza en domicilios;11.339;9.387;-17,2
    8.-Hurtos;69.593;43.932;-36,9
    9.-Sustracciones de vehículos;4.967;3.719;-25,1
    10.-Tráfico de drogas;3.308;3.456;4,5
    Resto de infracciones penales;150.751;144.050;-4,4
    TOTAL INFRACCIONES PENALES;255.222;216.830;-15,0
ARAGÓN;;;
    1.-Homicidios dolosos y asesinatos consumados;5;4;-20,0
    2.-Homicidios dolosos y asesinatos en grado tentativa;6;26;333,3
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;405;312;-23,0
    4.-Secuestro;2;0;-100,0
    5.-Delitos contra la libertad e indemnidad sexual;232;222;-4,3
    5.1.-Agresión sexual con penetración;18;30;66,7
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;214;192;-10,3
    6.-Robos con violencia e intimidación;764;609;-20,3
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;1.773;1.396;-21,3
    7.1.-Robos con fuerza en domicilios;1.189;846;-28,8
    8.-Hurtos;7.556;4.969;-34,2
    9.-Sustracciones de vehículos;157;153;-2,5
    10.-Tráfico de drogas;263;222;-15,6
    Resto de infracciones penales;20.181;18.817;-6,8
    TOTAL INFRACCIONES PENALES;31.344;26.730;-14,7
ASTURIAS (PRINCIPADO DE);;;
    1.-Homicidios dolosos y asesinatos consumados;5;3;-40,0
    2.-Homicidios dolosos y asesinatos en grado tentativa;10;7;-30,0
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;299;205;-31,4
    4.-Secuestro;0;1;100,0
    5.-Delitos contra la libertad e indemnidad sexual;146;163;11,6
    5.1.-Agresión sexual con penetración;8;11;37,5
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;138;152;10,1
    6.-Robos con violencia e intimidación;269;261;-3,0
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;1.108;898;-19,0
    7.1.-Robos con fuerza en domicilios;639;523;-18,2
    8.-Hurtos;5.155;3.221;-37,5
