Comunitat Valenciana;A2019;A2018;A2017;A2016;A2015;A2014;A2013;A2012;A2011;A2010
    1. CONTRA LAS PERSONAS;12763;12009;11339;10954;12028;13545;13320;13422;13330;10003
    1.1.-Homicidios dolosos/asesinatos;157;122;126;147;114;95;80;160;156;140
    1.1.1.-Homicidios dolosos/asesinatos consumados;54;32;69;50;57;33;38;95;73;84
    1.2.-Lesiones;3513;3231;3078;2962;2996;3479;3704;3567;3719;1881
    1.3.-Malos tratos ámbito familiar;8937;8510;8019;7740;7702;7741;7518;7545;7633;7570
    1.4.-Otros contra las personas;156;146;116;105;1216;2230;2018;2150;1822;412
    2. CONTRA LA LIBERTAD;4737;4507;4328;3994;3620;3433;3716;3817;3906;3032
    2.1.-Malos tratos habituales en el ámbito familiar;1424;1313;1183;1207;1235;1500;1582;1702;1729;1196
    2.2.-Otros contra la libertad;3313;3194;3145;2787;2385;1933;2134;2115;2177;1836
    3. LIBERTAD SEXUAL;1241;1085;836;883;855;834;851;942;916;877
    3.1.-Agresión sexual;187;142;128;144;117;150;170;165;176;159
    3.2.-Agresión sexual con penetración;155;139;72;109;89;106;147;133;147;175
    3.3.-Corrupción de menores o incapacitados;35;31;45;32;63;39;42;46;47;19
    3.4.-Pornografía de menores;94;79;55;54;75;65;51;52;58;54
    3.5.-Otros contra la libertad e indemnidad sexual;770;694;536;544;511;474;441;546;488;470
    4. RELACIONES FAMILIARES;200;242;250;216;305;414;405;454;367;227
    5. PATRIMONIO;16244;16953;17252;18382;19861;24224;26881;26496;26292;18729
    5.1.-Hurtos;6191;6851;6801;7344;8016;9005;9775;8592;8429;3915
    5.2.-Robos con fuerza en las cosas;3574;3742;4008;4432;4835;6476;7586;8184;8418;7108
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;574;553;670;658;632;805;1199;1379;1689;1073
    5.2.2.-Robos con fuerza en viviendas;1444;1603;1783;1940;2044;2810;2930;2983;2224;1973
    5.2.3.-Robos con fuerza en establecimientos;859;807;834;1001;983;1290;1337;1526;1598;1544
    5.3.-Robos con violencia o intimidación;1850;1690;1811;1872;1880;2457;2982;3123;3142;2747
    5.3.1.-Robos con violencia en vía pública;943;793;888;983;1005;1345;1725;1838;1663;1736
    5.3.2.-Robos con violencia en viviendas;220;196;214;193;254;337;333;364;274;255
    5.3.3.-Robos con violencia en establecimientos;453;491;493;494;396;519;542;559;589;517
    5.4.-Sustracción de vehículos;459;464;626;676;646;704;836;890;1047;877
    5.5.-Estafas;1458;1459;1509;1399;1470;1799;1814;1836;1789;1320
    5.5.1.-Estafas bancarias;188;168;141;140;85;110;97;135;238;341
    5.6.-Daños;1040;1002;918;949;984;1084;1323;1430;1408;834
    5.7.-Contra la propiedad intelectual/industrial;267;334;208;309;223;211;243;330;283;665
    5.8.-Blanqueo de capitales;70;87;105;72;34;62;79;28;21;20
    5.9.-Otros contra el patrimonio;1335;1324;1266;1329;1773;2426;2243;2083;1755;1243
    6. SEGURIDAD COLECTIVA;7688;7588;7230;7466;7686;8800;9113;8875;8991;6918
    6.1.-Tráfico de drogas;3142;2791;2627;2696;2508;2841;3094;2586;2490;2558
    6.2.-Contra la seguridad vial;4415;4516;4369;4518;4917;5699;5677;5718;5892;3900
    6.3.-Otros contra la seguridad colectiva;131;281;234;252;261;260;342;571;609;460
    7. FALSEDADES;1420;1592;1219;1296;1219;1373;1812;1470;1572;1318
    8. ADMÓN. PÚBLICA;38;42;67;28;66;25;19;46;19;42
    9. ADMÓN. JUSTICIA;3370;3224;3124;2990;3219;3354;3558;3541;3606;3113
    10. ORDEN PÚBLICO;2234;2249;2169;2113;2437;3052;3467;3605;3714;2851
    11. LEGISLACIÓN ESPECIAL;10;66;10;34;30;1;12;9;2;3
    12. OTRAS INFRACCIONES PENALES;471;379;466;686;580;750;408;425;440;503
    TOTAL INFRACCIONES PENALES;50416;49936;48290;49042;51906;59805;63562;63102;63155;47616
