Total Nacional;A2019;A2018;A2017;A2016;A2015;A2014;A2013;A2012;A2011;A2010
    1. CONTRA LAS PERSONAS;95194;89831;86481;81360;86933;97159;93213;97294;101176;66224
    1.1.-Homicidios dolosos/asesinatos;1256;1204;1208;1233;1076;1106;1086;1325;1390;1338
    1.1.1.-Homicidios dolosos/asesinatos consumados;363;340;332;333;351;305;311;408;451;397
    1.2.-Lesiones;33570;31812;30690;28184;27203;28867;28574;29942;31319;16137
    1.3.-Malos tratos ámbito familiar;58600;55153;53238;50743;49898;50644;49079;49830;51888;46479
    1.4.-Otros contra las personas;1768;1662;1345;1200;8756;16542;14474;16197;16579;2270
    2. CONTRA LA LIBERTAD;40383;38927;37237;34222;29183;25834;27444;27943;28751;24203
    2.1.-Malos tratos habituales en el ámbito familiar;9488;9078;9141;9083;9804;10454;11184;11621;12164;10905
    2.2.-Otros contra la libertad;30895;29849;28096;25139;19379;15380;16260;16322;16587;13298
    3. LIBERTAD SEXUAL;8983;8288;6796;6363;6044;6186;5827;6250;6697;6234
    3.1.-Agresión sexual;1326;1211;1089;1031;961;1105;1086;1273;1431;1368
    3.2.-Agresión sexual con penetración;1207;1198;865;888;856;925;918;938;1122;1097
    3.3.-Corrupción de menores o incapacitados;191;185;275;248;294;264;221;201;213;226
    3.4.-Pornografía de menores;615;677;463;441;473;456;391;506;464;504
    3.5.-Otros contra la libertad e indemnidad sexual;5644;5017;4104;3755;3460;3436;3211;3332;3467;3039
    4. RELACIONES FAMILIARES;1549;1687;1787;1586;2170;2920;2817;2926;2560;1093
    5. PATRIMONIO;144958;143192;137764;139669;145876;176396;195566;189877;184811;137368
    5.1.-Hurtos;58955;59652;56846;56696;57447;68509;72864;68234;62864;33639
    5.2.-Robos con fuerza en las cosas;29401;30314;31454;33077;36420;45249;56230;55473;56959;50266
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;5402;5534;5549;5851;5941;6884;8924;10091;11379;8455
    5.2.2.-Robos con fuerza en viviendas;8049;8662;9584;10259;10764;13513;16437;14494;11082;9730
    5.2.3.-Robos con fuerza en establecimientos;6070;5798;6445;6702;7002;8016;9601;9653;10064;9520
    5.3.-Robos con violencia o intimidación;18253;15491;15143;15417;15444;18258;22152;23475;23075;21621
    5.3.1.-Robos con violencia en vía pública;7725;6395;6563;6901;6944;8538;10175;11235;10452;10397
    5.3.2.-Robos con violencia en viviendas;1153;1178;1161;1207;1203;1490;1769;1686;1457;1280
    5.3.3.-Robos con violencia en establecimientos;3037;2890;2757;2619;2522;3020;3564;3453;3339;3368
    5.4.-Sustracción de vehículos;3399;3424;4410;4825;4920;5392;6203;6808;7601;7169
    5.5.-Estafas;13463;12484;11245;11270;11015;13043;12551;12527;12001;8334
    5.5.1.-Estafas bancarias;1593;1248;1092;1018;844;886;986;1152;1215;1860
    5.6.-Daños;8298;8013;7640;7304;7014;8100;8812;9507;9955;5797
    5.7.-Contra la propiedad intelectual/industrial;1795;2273;1380;1700;1710;2263;2595;2257;2136;3733
    5.8.-Blanqueo de capitales;602;701;608;531;636;803;597;567;422;296
    5.9.-Otros contra el patrimonio;10792;10840;9038;8849;11270;14779;13562;11029;9798;6513
    6. SEGURIDAD COLECTIVA;61239;57327;52882;52687;55254;63639;68771;72976;78158;60510
    6.1.-Tráfico de drogas;22888;20350;18865;18564;18240;20701;22312;22575;23610;21683
    6.2.-Contra la seguridad vial;36861;34894;32152;32419;35354;41153;44625;48133;52460;36751
    6.3.-Otros contra la seguridad colectiva;1490;2083;1865;1704;1660;1785;1834;2268;2088;2076
    7. FALSEDADES;11288;11014;9555;10241;11469;11651;14055;11624;11247;9541
    8. ADMÓN. PÚBLICA;446;693;694;810;780;509;398;274;429;245
    9. ADMÓN. JUSTICIA;21416;20045;19337;18387;19186;20541;20707;20991;22038;18876
    10. ORDEN PÚBLICO;19712;18235;18023;17358;18628;22357;24981;26775;28116;23749
    11. LEGISLACIÓN ESPECIAL;559;507;339;319;270;255;295;228;253;146
    12. OTRAS INFRACCIONES PENALES;6176;5078;4970;4934;4451;4908;4013;3884;4017;3778
    TOTAL INFRACCIONES PENALES;411903;394824;375865;367936;380244;432355;458087;461042;468253;351967
