Comunidades;Infracciones;Años
ANDALUCÍA;89729;2019
ANDALUCÍA;87199;2018
ANDALUCÍA;84846;2017
ANDALUCÍA;82911;2016
ANDALUCÍA;87465;2015
ANDALUCÍA;95241;2014
ANDALUCÍA;100589;2013
ANDALUCÍA;100409;2012
ANDALUCÍA;103249;2011
ANDALUCÍA;69597;2010
ARAGÓN;10891;2019
ARAGÓN;10048;2018
ARAGÓN;9328;2017
ARAGÓN;9706;2016
ARAGÓN;9874;2015
ARAGÓN;11719;2014
ARAGÓN;12370;2013
ARAGÓN;12079;2012
ARAGÓN;13455;2011
ARAGÓN;9443;2010
ASTURIAS (PRINCIPADO DE);8143;2019
ASTURIAS (PRINCIPADO DE);7802;2018
ASTURIAS (PRINCIPADO DE);7626;2017
ASTURIAS (PRINCIPADO DE);7440;2016
ASTURIAS (PRINCIPADO DE);7761;2015
ASTURIAS (PRINCIPADO DE);9138;2014
ASTURIAS (PRINCIPADO DE);9637;2013
ASTURIAS (PRINCIPADO DE);10008;2012
ASTURIAS (PRINCIPADO DE);10047;2011
ASTURIAS (PRINCIPADO DE);7002;2010
BALEARS (ILLES);15306;2019
BALEARS (ILLES);13903;2018
BALEARS (ILLES);13405;2017
BALEARS (ILLES);13076;2016
BALEARS (ILLES);13153;2015
BALEARS (ILLES);14817;2014
BALEARS (ILLES);16410;2013
BALEARS (ILLES);15247;2012
BALEARS (ILLES);14896;2011
BALEARS (ILLES);9908;2010
CANARIAS;24731;2019
CANARIAS;24291;2018
CANARIAS;24047;2017
CANARIAS;21797;2016
CANARIAS;24125;2015
CANARIAS;28835;2014
CANARIAS;31195;2013
CANARIAS;31420;2012
CANARIAS;30518;2011
CANARIAS;18898;2010
CANTABRIA;4139;2019
CANTABRIA;3981;2018
CANTABRIA;3610;2017
CANTABRIA;3745;2016
CANTABRIA;3794;2015
CANTABRIA;4600;2014
CANTABRIA;5554;2013
CANTABRIA;5664;2012
CANTABRIA;5512;2011
CANTABRIA;4111;2010
CASTILLA Y LEÓN;16860;2019
CASTILLA Y LEÓN;16602;2018
CASTILLA Y LEÓN;15273;2017
CASTILLA Y LEÓN;14983;2016
CASTILLA Y LEÓN;16737;2015
CASTILLA Y LEÓN;19414;2014
CASTILLA Y LEÓN;19252;2013
CASTILLA Y LEÓN;19383;2012
CASTILLA Y LEÓN;19350;2011
CASTILLA Y LEÓN;14368;2010
CASTILLA - LA MANCHA;19638;2019
CASTILLA - LA MANCHA;19050;2018
CASTILLA - LA MANCHA;17859;2017
CASTILLA - LA MANCHA;17218;2016
CASTILLA - LA MANCHA;16278;2015
CASTILLA - LA MANCHA;18241;2014
CASTILLA - LA MANCHA;19942;2013
CASTILLA - LA MANCHA;20066;2012
CASTILLA - LA MANCHA;20424;2011
CASTILLA - LA MANCHA;16003;2010
CATALUÑA;38424;2019
CATALUÑA;36065;2018
CATALUÑA;32705;2017
CATALUÑA;33362;2016
CATALUÑA;34557;2015
CATALUÑA;39402;2014
CATALUÑA;43805;2013
CATALUÑA;44851;2012
CATALUÑA;47785;2011
CATALUÑA;48333;2010
COMUNITAT VALENCIANA;50416;2019
COMUNITAT VALENCIANA;49936;2018
COMUNITAT VALENCIANA;48290;2017
COMUNITAT VALENCIANA;49042;2016
COMUNITAT VALENCIANA;51906;2015
COMUNITAT VALENCIANA;59805;2014
COMUNITAT VALENCIANA;63562;2013
COMUNITAT VALENCIANA;63102;2012
COMUNITAT VALENCIANA;63155;2011
COMUNITAT VALENCIANA;47616;2010
EXTREMADURA;8284;2019
EXTREMADURA;7995;2018
EXTREMADURA;7713;2017
EXTREMADURA;7542;2016
EXTREMADURA;8123;2015
EXTREMADURA;9354;2014
EXTREMADURA;10640;2013
EXTREMADURA;9655;2012
EXTREMADURA;8932;2011
EXTREMADURA;6517;2010
GALICIA;18565;2019
GALICIA;18533;2018
GALICIA;16825;2017
GALICIA;16112;2016
GALICIA;16574;2015
GALICIA;19160;2014
GALICIA;21232;2013
GALICIA;21555;2012
GALICIA;22447;2011
GALICIA;11665;2010
MADRID (COMUNIDAD DE);73308;2019
MADRID (COMUNIDAD DE);67571;2018
MADRID (COMUNIDAD DE);64799;2017
MADRID (COMUNIDAD DE);61501;2016
MADRID (COMUNIDAD DE);57806;2015
MADRID (COMUNIDAD DE);67774;2014
MADRID (COMUNIDAD DE);68063;2013
MADRID (COMUNIDAD DE);70130;2012
MADRID (COMUNIDAD DE);69819;2011
MADRID (COMUNIDAD DE);56496;2010
MURCIA (REGIÓN DE);15770;2019
MURCIA (REGIÓN DE);15079;2018
MURCIA (REGIÓN DE);14164;2017
MURCIA (REGIÓN DE);14083;2016
MURCIA (REGIÓN DE);15329;2015
MURCIA (REGIÓN DE);16707;2014
MURCIA (REGIÓN DE);16637;2013
MURCIA (REGIÓN DE);16781;2012
MURCIA (REGIÓN DE);16872;2011
MURCIA (REGIÓN DE);13145;2010
NAVARRA (COMUNIDAD FORAL DE);4500;2019
NAVARRA (COMUNIDAD FORAL DE);4336;2018
NAVARRA (COMUNIDAD FORAL DE);3367;2017
NAVARRA (COMUNIDAD FORAL DE);3520;2016
NAVARRA (COMUNIDAD FORAL DE);3728;2015
NAVARRA (COMUNIDAD FORAL DE);3843;2014
NAVARRA (COMUNIDAD FORAL DE);3167;2013
NAVARRA (COMUNIDAD FORAL DE);3374;2012
NAVARRA (COMUNIDAD FORAL DE);3492;2011
NAVARRA (COMUNIDAD FORAL DE);3226;2010
PAÍS VASCO;5128;2019
PAÍS VASCO;4665;2018
PAÍS VASCO;4413;2017
PAÍS VASCO;4568;2016
PAÍS VASCO;5376;2015
PAÍS VASCO;6165;2014
PAÍS VASCO;6909;2013
PAÍS VASCO;7718;2012
PAÍS VASCO;8493;2011
PAÍS VASCO;8275;2010
RIOJA (LA);3120;2019
RIOJA (LA);2971;2018
RIOJA (LA);2908;2017
RIOJA (LA);2798;2016
RIOJA (LA);3013;2015
RIOJA (LA);2967;2014
RIOJA (LA);3220;2013
RIOJA (LA);3102;2012
RIOJA (LA);3246;2011
RIOJA (LA);2244;2010
CIUDAD AUTÓNOMA DE CEUTA;2162;2019
CIUDAD AUTÓNOMA DE CEUTA;2205;2018
CIUDAD AUTÓNOMA DE CEUTA;2051;2017
CIUDAD AUTÓNOMA DE CEUTA;1916;2016
CIUDAD AUTÓNOMA DE CEUTA;2052;2015
CIUDAD AUTÓNOMA DE CEUTA;2486;2014
CIUDAD AUTÓNOMA DE CEUTA;3062;2013
CIUDAD AUTÓNOMA DE CEUTA;3779;2012
CIUDAD AUTÓNOMA DE CEUTA;3615;2011
CIUDAD AUTÓNOMA DE CEUTA;3096;2010
CIUDAD AUTÓNOMA DE MELILLA;2789;2019
CIUDAD AUTÓNOMA DE MELILLA;2592;2018
CIUDAD AUTÓNOMA DE MELILLA;2636;2017
CIUDAD AUTÓNOMA DE MELILLA;2616;2016
CIUDAD AUTÓNOMA DE MELILLA;2593;2015
CIUDAD AUTÓNOMA DE MELILLA;2687;2014
CIUDAD AUTÓNOMA DE MELILLA;2841;2013
CIUDAD AUTÓNOMA DE MELILLA;2719;2012
CIUDAD AUTÓNOMA DE MELILLA;2946;2011
CIUDAD AUTÓNOMA DE MELILLA;2024;2010
