Delitos;Enero-marzo 2019;Enero-marzo 2020;Variación % 2020/2019;Comunidad Autonoma
TOTAL NACIONAL;;;;
    1.-Homicidios dolosos y asesinatos consumados;76;84;10,5;TOTAL NACIONAL
    2.-Homicidios dolosos y asesinatos en grado tentativa;195;184;-5,6;TOTAL NACIONAL
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;4484;4087;-8,9;TOTAL NACIONAL
    4.-Secuestro;24;19;-20,8;TOTAL NACIONAL
    5.-Delitos contra la libertad e indemnidad sexual;3570;3355;-6;TOTAL NACIONAL
    5.1.-Agresión sexual con penetración;376;428;13,8;TOTAL NACIONAL
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;3194;2927;-8,4;TOTAL NACIONAL
    6.-Robos con violencia e intimidación;15400;14602;-5,2;TOTAL NACIONAL
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;37104;31933;-13,9;TOTAL NACIONAL
    7.1.-Robos con fuerza en domicilios;25243;21090;-16,5;TOTAL NACIONAL
    8.-Hurtos;168817;138598;-17,9;TOTAL NACIONAL
    9.-Sustracciones de vehículos;8847;7470;-15,6;TOTAL NACIONAL
    10.-Tráfico de drogas;3797;3856;1,6;TOTAL NACIONAL
    Resto de infracciones penales;286752;277684;-3,2;TOTAL NACIONAL
    TOTAL INFRACCIONES PENALES;529066;481872;-8,9;TOTAL NACIONAL
ANDALUCÍA;;;;
    1.-Homicidios dolosos y asesinatos consumados;15;17;13,3;ANDALUCÍA
    2.-Homicidios dolosos y asesinatos en grado tentativa;30;50;66,7;ANDALUCÍA
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;723;767;6,1;ANDALUCÍA
    4.-Secuestro;12;6;-50;ANDALUCÍA
    5.-Delitos contra la libertad e indemnidad sexual;599;532;-11,2;ANDALUCÍA
    5.1.-Agresión sexual con penetración;54;57;5,6;ANDALUCÍA
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;545;475;-12,8;ANDALUCÍA
    6.-Robos con violencia e intimidación;1722;1570;-8,8;ANDALUCÍA
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;5732;5188;-9,5;ANDALUCÍA
    7.1.-Robos con fuerza en domicilios;3756;3465;-7,7;ANDALUCÍA
    8.-Hurtos;21609;18095;-16,3;ANDALUCÍA
    9.-Sustracciones de vehículos;1647;1374;-16,6;ANDALUCÍA
    10.-Tráfico de drogas;988;1038;5,1;ANDALUCÍA
    Resto de infracciones penales;48204;47517;-1,4;ANDALUCÍA
    TOTAL INFRACCIONES PENALES;81281;76154;-6,3;ANDALUCÍA
ARAGÓN;;;;
    1.-Homicidios dolosos y asesinatos consumados;3;1;-66,7;ARAGÓN
    2.-Homicidios dolosos y asesinatos en grado tentativa;0;6;100;ARAGÓN
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;107;93;-13,1;ARAGÓN
    4.-Secuestro;0;0;0;ARAGÓN
    5.-Delitos contra la libertad e indemnidad sexual;69;84;21,7;ARAGÓN
    5.1.-Agresión sexual con penetración;6;10;66,7;ARAGÓN
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;63;74;17,5;ARAGÓN
    6.-Robos con violencia e intimidación;255;221;-13,3;ARAGÓN
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;597;488;-18,3;ARAGÓN
    7.1.-Robos con fuerza en domicilios;394;313;-20,6;ARAGÓN
    8.-Hurtos;2702;2091;-22,6;ARAGÓN
    9.-Sustracciones de vehículos;56;55;-1,8;ARAGÓN
    10.-Tráfico de drogas;83;59;-28,9;ARAGÓN
    Resto de infracciones penales;6517;6000;-7,9;ARAGÓN
    TOTAL INFRACCIONES PENALES;10389;9098;-12,4;ARAGÓN
ASTURIAS (PRINCIPADO DE);;;;
    1.-Homicidios dolosos y asesinatos consumados;0;1;100;ASTURIAS (PRINCIPADO DE)
    2.-Homicidios dolosos y asesinatos en grado tentativa;2;2;0;ASTURIAS (PRINCIPADO DE)
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;96;85;-11,5;ASTURIAS (PRINCIPADO DE)
    4.-Secuestro;0;1;100;ASTURIAS (PRINCIPADO DE)
    5.-Delitos contra la libertad e indemnidad sexual;39;44;12,8;ASTURIAS (PRINCIPADO DE)
    5.1.-Agresión sexual con penetración;0;2;100;ASTURIAS (PRINCIPADO DE)
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;39;42;7,7;ASTURIAS (PRINCIPADO DE)
    6.-Robos con violencia e intimidación;93;99;6,5;ASTURIAS (PRINCIPADO DE)
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;418;374;-10,5;ASTURIAS (PRINCIPADO DE)
    7.1.-Robos con fuerza en domicilios;233;185;-20,6;ASTURIAS (PRINCIPADO DE)
    8.-Hurtos;1725;1359;-21,2;ASTURIAS (PRINCIPADO DE)
    9.-Sustracciones de vehículos;38;63;65,8;ASTURIAS (PRINCIPADO DE)
    10.-Tráfico de drogas;48;35;-27,1;ASTURIAS (PRINCIPADO DE)
    Resto de infracciones penales;4081;4122;1;ASTURIAS (PRINCIPADO DE)
    TOTAL INFRACCIONES PENALES;6540;6185;-5,4;ASTURIAS (PRINCIPADO DE)
BALEARS (ILLES);;;;
    1.-Homicidios dolosos y asesinatos consumados;1;0;-100;BALEARS (ILLES)
    2.-Homicidios dolosos y asesinatos en grado tentativa;10;5;-50;BALEARS (ILLES)
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;160;149;-6,9;BALEARS (ILLES)
    4.-Secuestro;0;1;100;BALEARS (ILLES)
    5.-Delitos contra la libertad e indemnidad sexual;147;119;-19;BALEARS (ILLES)
    5.1.-Agresión sexual con penetración;10;17;70;BALEARS (ILLES)
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;137;102;-25,5;BALEARS (ILLES)
    6.-Robos con violencia e intimidación;228;199;-12,7;BALEARS (ILLES)
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;903;683;-24,4;BALEARS (ILLES)
    7.1.-Robos con fuerza en domicilios;665;480;-27,8;BALEARS (ILLES)
    8.-Hurtos;3896;2998;-23;BALEARS (ILLES)
    9.-Sustracciones de vehículos;227;275;21,1;BALEARS (ILLES)
    10.-Tráfico de drogas;67;75;11,9;BALEARS (ILLES)
    Resto de infracciones penales;9001;9716;7,9;BALEARS (ILLES)
    TOTAL INFRACCIONES PENALES;14640;14220;-2,9;BALEARS (ILLES)
CANARIAS;;;;
    1.-Homicidios dolosos y asesinatos consumados;4;5;25;CANARIAS
    2.-Homicidios dolosos y asesinatos en grado tentativa;7;11;57,1;CANARIAS
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;297;240;-19,2;CANARIAS
    4.-Secuestro;0;0;0;CANARIAS
