 Delitos;Enero-junio 2019;Enero-junio 2020;Variación % 2020/2019
    1.-Homicidios dolosos y asesinatos consumados;147;143;-2,7
    2.-Homicidios dolosos y asesinatos en grado tentativa;403;411;2,0
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;9.176;7.258;-20,9
    4.-Secuestro;50;36;-28,0
    5.-Delitos contra la libertad e indemnidad sexual;7.247;6.139;-15,3
    5.1.-Agresión sexual con penetración;825;783;-5,1
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;6.422;5.356;-16,6
    6.-Robos con violencia e intimidación;31.026;21.276;-31,4
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;69.991;48.200;-31,1
    7.1.-Robos con fuerza en domicilios;47.336;32.251;-31,9
    8.-Hurtos;343.556;190.059;-44,7
    9.-Sustracciones de vehículos;17.425;11.550;-33,7
    10.-Tráfico de drogas;7.998;8.071;0,9
    Resto de infracciones penales;582.086;510.446;-12,3
    TOTAL INFRACCIONES PENALES;1.069.105;803.609;-24,8
